案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC291B0304,20210105,120.201252,22.993849,交通事故,交叉路口,臺南市中西區民生路段號永福路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC291B0341,20210101,120.209026,22.991912,交通事故,交叉路口,臺南市中西區青年路段號城隍街,1,晴,50,交岔路,交叉路口,行車管制號誌,人與汽(機)車,未注意車前狀態
11001AC291B0437,20210106,120.186881,22.987634,交通事故,其他,臺南市中西區段號中華西路2段家樂福車輛入口前,1,晴,60,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC291B0442,20210107,120.196631,22.99334,交通事故,一般地址,臺南市中西區中正路段250號,1,陰,50,單路部分,路段,無號誌,車與車,尚未發現肇事因素
11001AC291B0472,20210107,120.203816,22.982603,交通事故,交叉路口,臺南市中西區南門路段號五妃街,1,陰,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC291B0477,20210106,120.208449,22.994773,交通事故,交叉路口,臺南市中西區中山路段號民族路,1,晴,50,交岔路,其他,行車管制號誌(附設行人專用號誌),人與汽(機)車,搶越行人穿越道
11001AC291B0478,20210107,120.197449,23.000923,交通事故,交叉路口,臺南市中西區成功路段號康樂街,1,晴,50,交岔路,交叉路口,閃光號誌,車與車,未依規定讓車
11001AC291B0485,20210107,120.202068,22.981577,交通事故,一般地址,臺南市中西區健康路1段338號,1,晴,50,單路部分,路段,無號誌,車與車,尚未發現肇事因素
11001AC291B0494,20210104,120.207997,22.988458,交通事故,其他,臺南市中西區段號開山路133號對面,1,晴,50,單路部分,其他,無號誌,車與車,未注意車前狀態
11001AC291B0519,20210108,120.193932,22.996096,交通事故,交叉路口,臺南市中西區金華路段號民生路,1,陰,50,交岔路,交叉路口,行車管制號誌(附設行人專用號誌),汽(機)車本身,未注意車前狀態
11001AC291B0562,20210106,120.201688,22.997117,交通事故,一般地址,臺南市中西區民族路2段373號,1,晴,50,單路部分,路段,無號誌,車與車,倒車未依規定
11001AC291B0570,20210107,120.189903,23.002336,交通事故,交叉路口,臺南市中西區和善街段號文祥街,2,陰,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC291B0652,20210107,120.197012,22.991431,交通事故,交叉路口,臺南市中西區國華街段號尊王路,1,陰,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
